"PC1","PC2","LESIONS","ROI"
-0.920813690919186,0.046265768366205,"Inv Cancer","Stroma"
0.170351631629185,1.22723686273526,"Inv Cancer","Stroma"
2.16322107726766,1.31583364592075,"STIC.C","Epithelial"
2.40419860062045,-0.848866487332408,"STIC.C","Epithelial"
3.4633804854856,-0.572599773452108,"STIC.C","Stroma"
9.27260016699037,2.99267289662273,"STIC.C","Stroma"
0.340848979990734,-1.61036537186278,"STIC.C","Stroma"
-0.277505933568855,1.17509263596251,"STIC.C","Epithelial"
10.8836449094112,4.29044926616379,"STIC.C","Epithelial"
8.25510296844491,4.97778248838133,"STIC.C","Stroma"
13.0655424806446,4.69324587642329,"STIC.C","Stroma"
2.70001454279234,0.313405913974579,"STIC.C","Stroma"
1.13556579581807,2.24347562624826,"STIC.C","Epithelial"
0.140908427106121,-0.516169425665516,"p53 Signature.C","Epithelial"
-0.604840330974622,-0.0519137407208865,"p53 Signature.C","Epithelial"
-1.81092496380762,-0.051648116686775,"p53 Signature.C","Stroma"
-2.2400144128728,-0.152254037242217,"p53 Signature.C","Epithelial"
-2.03479057146518,0.359300435315323,"p53 Signature.C","Stroma"
-1.73534522951412,-0.616307634627952,"p53 Signature.C","Epithelial"
-0.131356203348541,-0.23528811223126,"p53 Signature.C","Stroma"
-1.80666802479786,-0.283613033904416,"p53 Signature.C","Epithelial"
-1.61872680683792,-0.146038063058775,"p53 Signature.C","Stroma"
-1.85369481134351,0.273586054367579,"p53 Signature.C","Epithelial"
0.125775002594526,-0.646538565054566,"STIC.C","Epithelial"
-2.32351550883934,0.0253318768166426,"STIC.C","Stroma"
24.8929037597218,1.94444640012792,"Inv Cancer","Epithelial"
13.139496369851,2.9338950321205,"Inv Cancer","Stroma"
1.28027590184023,-0.834744556295972,"Inv Cancer","Epithelial"
14.8747962886524,3.46612870634555,"STIC.C","Epithelial"
-0.994176187522963,0.169360728063079,"Inv Cancer","Epithelial"
-2.42811440338429,-0.0852490541736517,"Inv Cancer","Epithelial"
-2.28166503507875,-0.317854618863334,"STIC.C","Epithelial"
-2.14070422294403,0.1832291860044,"STIC.C","Stroma"
-2.50139928233592,0.0922659323657492,"STIC.C","Epithelial"
-1.68716290667578,0.334886869605675,"STIC.C","Stroma"
-2.64803265849276,-0.257999025509163,"STIC.C","Epithelial"
-2.16611895206932,0.287043175535442,"STIC.C","Stroma"
-2.3758606025869,0.131091156027321,"Inv Cancer","Epithelial"
9.8336305608745,-1.40112692235816,"Inv Cancer","Stroma"
-0.832463469047266,-0.0255826780206894,"Inv Cancer","Epithelial"
5.72970344505478,1.89843678433052,"Inv Cancer","Stroma"
-1.54841401737216,-0.351812804840928,"STIC.C","Epithelial"
-1.42418436480795,-0.217050668001213,"STIC.C","Epithelial"
-0.746997151117343,2.13203994350576,"Incidental FT","Epithelial"
-1.86540161509392,-0.0122629366815928,"Incidental FT","Stroma"
-0.0881515846586678,0.61570855510341,"Incidental p53sig","Epithelial"
-1.11933249419333,0.0505980987009872,"Incidental p53sig","Stroma"
-0.276892934486541,-0.121049470393493,"Incidental p53sig","Epithelial"
-1.0896325704883,-0.355517765964706,"Incidental p53sig","Stroma"
5.20286651486912,2.43263621710665,"Incidental p53sig","Epithelial"
5.7290037596346,1.27197846686554,"Incidental p53sig","Stroma"
-1.5227563738483,0.677854195862588,"Incidental FT","Epithelial"
-2.30235004948916,0.442860436646166,"Incidental FT","Stroma"
-1.18140615563973,1.32172388214043,"Incidental FT","Epithelial"
-1.86836110546501,0.367163617901874,"Incidental FT","Stroma"
-1.41287932972049,-0.296344570448782,"Incidental p53sig","Epithelial"
-1.71773421682813,0.541528440472299,"Incidental p53sig","Epithelial"
-2.3430298884534,0.0955483812242103,"Incidental p53sig","Epithelial"
2.10061891725214,-0.367230362939559,"Incidental p53sig","Epithelial"
5.05869206889997,1.156259859178,"Incidental p53sig","Stroma"
-1.96660998273016,-0.628772837857408,"Incidental p53sig","Epithelial"
-0.622140449769363,0.201916711655658,"Incidental FT","Epithelial"
-0.862344254834074,-0.107497532887645,"Incidental FT","Epithelial"
-1.66110798588621,0.203473233769239,"Incidental FT","Epithelial"
-1.9538833724622,-0.240656298805935,"Incidental FT","Epithelial"
-0.968702404796793,-0.476030308965417,"Incidental p53sig","Epithelial"
-2.34418433523183,0.580521016893024,"Incidental p53sig","Stroma"
-1.2588142868336,1.04855131135358,"Incidental p53sig","Epithelial"
-2.28375315367841,-0.0251897930464721,"Incidental FT","Epithelial"
-1.93276117789917,0.136144391442883,"Incidental p53sig","Epithelial"
-1.48497666748728,-0.103074093565237,"Incidental p53sig","Epithelial"
-0.32138346137736,-0.95724904439543,"Incidental p53sig","Epithelial"
-2.04473944964204,-0.0671975481591675,"Incidental p53sig","Stroma"
-1.92279242380666,0.367571265272843,"Incidental FT","Epithelial"
-1.92319139778518,0.25610932293478,"Incidental FT","Stroma"
-2.19486842004704,0.242508865265625,"Incidental FT","Stroma"
-2.15073385724278,-0.0657069984956879,"Incidental FT","Epithelial"
-2.05224162107081,0.553629453006982,"Incidental FT","Stroma"
0.34290029976112,0.981827209071322,"Incidental p53sig","Epithelial"
-0.0804846863203264,1.03391411755639,"Incidental p53sig","Epithelial"
-0.922227955436486,0.594319848137998,"Incidental p53sig","Epithelial"
-1.94709798885279,0.158433217530467,"Incidental p53sig","Epithelial"
-2.27938337409754,0.576517924986543,"Incidental p53sig","Stroma"
-2.22322350521677,0.513954440849849,"Incidental p53sig","Stroma"
-2.3989250138009,0.243937131907169,"Incidental p53sig","Stroma"
-1.21815017047781,-0.609591997718819,"Incidental p53sig","Epithelial"
-2.27203689127948,0.0882341229409265,"Incidental p53sig","Epithelial"
2.11038631000458,-0.934912695419528,"Incidental STIC","Epithelial"
5.69654788980625,1.08971101447572,"Incidental STIC","Stroma"
0.335982353190757,0.831313429273621,"Incidental STIC","Epithelial"
-1.44393172498566,-0.110967022594579,"Incidental STIC","Stroma"
2.03760654447075,-1.11078014017592,"Incidental STIC","Epithelial"
7.85875051969062,-1.82345857422633,"Incidental STIC","Stroma"
17.9863877319047,-0.306797041546098,"Incidental STIC","Epithelial"
5.39146175489382,1.49414313738748,"Incidental STIC","Stroma"
0.375631799202836,0.459342572004649,"Incidental STIC","Epithelial"
9.18543161890084,-2.85310505616181,"Incidental STIC","Stroma"
-0.672754584483825,-0.344754851049949,"Incidental STIC","Epithelial"
