"tSNE1","tSNE2","LESIONS","ROI","BRCA"
-19.8863883456347,0.68534263476415,"Inv Cancer","Epithelial","WT"
-9.91843460937474,-9.52262236001932,"p53 Signature.C","Epithelial","WT"
-10.7462653011708,-8.4922275639157,"STIC.C","Epithelial","WT"
-10.7416594478687,-8.48238163589548,"STIC.C","Epithelial","WT"
-10.7058754676929,-8.39811871304343,"STIC.C","Epithelial","WT"
-21.3303414357077,0.492024323077496,"Inv Cancer","Epithelial","WT"
-21.1786800906492,0.921967237225267,"Inv Cancer","Epithelial","WT"
-20.8610319452407,0.978824512537855,"Inv Cancer","Epithelial","WT"
-8.62051598232461,-8.78670535654872,"FT.C","Epithelial","WT"
-19.8824568654843,-0.249840276858531,"Inv Cancer","Epithelial","WT"
-7.01841192102373,-12.9569440268688,"Inv Cancer","Stroma","WT"
-19.8930113458562,0.417958369088982,"Inv Cancer","Epithelial","WT"
-19.6977452207717,0.0150324894169852,"Inv Cancer","Epithelial","WT"
-7.17415623739392,-12.47298621846,"Inv Cancer","Stroma","WT"
-7.18093956782768,-12.2092266532369,"Inv Cancer","Stroma","WT"
-21.6040024004412,1.34700634008767,"Inv Cancer","Epithelial","WT"
-21.3718826574591,1.29833517082665,"Inv Cancer","Epithelial","WT"
-7.05792983941855,-14.1167875141009,"Inv Cancer","Stroma","WT"
-7.13927414289344,-13.8914013085703,"Inv Cancer","Stroma","WT"
-7.04280613835248,-14.0785425733444,"Inv Cancer","Stroma","WT"
-21.8255476307117,0.859324255244662,"Inv Cancer","Epithelial","WT"
-21.9828013163074,1.0853472713749,"Inv Cancer","Epithelial","WT"
-8.59514582275103,-8.82429302143804,"FT.C","Epithelial","WT"
13.2916634243476,-0.0600596083766049,"FT.C","Epithelial","WT"
12.9324419461504,-0.414335425224378,"FT.C","Epithelial","WT"
11.0602896258477,4.17361926081422,"FT.C","Epithelial","WT"
12.729270573999,6.85436770542652,"Fimbriae.C","Epithelial","WT"
12.0749838169762,5.7557533643958,"Fimbriae.C","Epithelial","WT"
10.0911538755781,4.75408834983079,"Fimbriae.C","Epithelial","WT"
-4.5124514710349,-1.43129347864349,"Cancer (Floating)","Epithelial","WT"
-2.60582938037495,17.8062958566111,"Cancer (Floating)","Epithelial","WT"
-3.97966511332366,0.0921973685404975,"Cancer (Floating)","Epithelial","WT"
7.08001469961243,6.40253534148891,"Fimbriae.C","Epithelial","WT"
9.99909535129023,7.9130714893133,"Fimbriae.C","Epithelial","WT"
11.2990042302112,4.49690111905948,"Fimbriae.C","Epithelial","WT"
-2.66670165622814,15.49544324992,"Inv Cancer","Epithelial","WT"
-2.6409727119543,15.5171531529729,"Inv Cancer","Epithelial","WT"
13.1895665375756,3.64819078754799,"Inv Cancer","Epithelial","WT"
0.266247692422402,15.4762041207058,"Inv Cancer","Epithelial","WT"
13.2091375242507,4.04622115528946,"Inv Cancer","Epithelial","WT"
13.2498796113336,3.94022549070476,"Inv Cancer","Epithelial","WT"
-1.70551571245538,17.0708597015888,"STIC.C","Epithelial","WT"
-1.60500183457209,17.0087075833442,"STIC.C","Epithelial","WT"
-1.82755847430515,16.6321878432891,"STIC.C","Epithelial","WT"
-1.73581533475631,17.1099857560464,"STIC.C","Epithelial","WT"
-1.18444948445534,16.3867965723659,"STIC.C","Epithelial","WT"
-1.06123504184549,16.4724184174213,"STIC.C","Epithelial","WT"
-2.19983412464829,17.780852786292,"STIC.C","Epithelial","WT"
-0.773257098027487,15.1719373729352,"STIC.C","Epithelial","WT"
-3.98221253483703,0.191818668113935,"Cancer (Floating)","Stroma","WT"
