"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significancia"
"CA13",-0.0666968749999994,0.0875895833333333,-0.623170729924391,0.533360514624144,0.622170653402982,-6.92516393136028,"Não significativo"
"AMTN",0.0687498263888885,0.0471845238095239,0.622824375675342,0.533587996273039,0.622397140044438,-6.92537849408596,"Não significativo"
"DENND1A",-0.0672973958333317,-0.0458464285714286,-0.622386384469599,0.533875734390546,0.622693879423733,-6.92564965429463,"Não significativo"
"SRR",0.067661805555555,0.0224666666666667,0.622269210691619,0.533952724961983,0.622744788567189,-6.92572216423244,"Não significativo"
"CCL11",0.0676387152777766,0.0863333333333334,0.6219735806561,0.534146997532176,0.622932467868152,-6.92590504656047,"Não significativo"
"DCLK2",-0.0675253472222221,0.0253074404761905,-0.621731600264532,0.534306040977746,0.623079041417418,-6.92605467559185,"Não significativo"
"WDR48",-0.0656020833333326,0.00110982142857143,-0.621554122754854,0.534422704639734,0.62317617871988,-6.92616438217013,"Não significativo"
"SMYD2",-0.067466493055555,0.13326130952381,-0.621115654217773,0.534710984235391,0.623473408201049,-6.92643528453093,"Não significativo"
"HTR2A",-0.068049999999999,0.0426336309523809,-0.620798836123768,0.534919331307995,0.623641101558909,-6.9266309078221,"Não significativo"
"PRAMEF17",-0.0681352430555544,0.0430267857142857,-0.620795409120966,0.534921585210351,0.623641101558909,-6.92663302332266,"Não significativo"
"DIP2A",0.0652585069444439,0.0997684523809524,0.61991814810163,0.535498708016638,0.62425948274157,-6.92717417583736,"Não significativo"
"ZNF257",0.0673232638888883,0.00441636904761905,0.619823501997632,0.535560991534513,0.62425948274157,-6.92723251411506,"Não significativo"
"CDK13",0.0661249999999993,0.0400017857142857,0.619805161305769,0.535573061369357,0.62425948274157,-6.92724381798188,"Não significativo"
"NUDT11",-0.0676595486111098,0.0613014880952382,-0.619755147026167,0.535605975988779,0.62425948274157,-6.92727464144371,"Não significativo"
"SERPINB5",0.068862326388888,0.016249404761905,0.619733889459278,0.535619965997141,0.62425948274157,-6.92728774158582,"Não significativo"
"ZNF292",-0.0665034722222212,0.0520964285714285,-0.61968439649093,0.535652538973947,0.62425948274157,-6.92731824027592,"Não significativo"
"CCDC32",-0.0673163194444435,0.0356866071428571,-0.619360514439046,0.535865721256153,0.62446896336814,-6.92751776368184,"Não significativo"
"EIF5AL1",-0.0677079861111099,0.0669645833333334,-0.619275512153497,0.535921677669747,0.624495206753049,-6.92757011099278,"Não significativo"
"COX6B2",-0.0678088541666657,0.0400979166666667,-0.618639292454942,0.536340590265289,0.624913262750295,-6.92796168891072,"Não significativo"
"SLC9A8",-0.0685177083333328,-0.0602761904761905,-0.618629016359678,0.536347357813741,0.624913262750295,-6.92796801030046,"Não significativo"
