"MDS1","MDS2","LESIONS","ROI","BRCA"
-11.9900010730373,15.5914488402344,"Inv Cancer","Epithelial","WT"
4.75737213760149,5.69164469756531,"FT.C","Epithelial","WT"
16.8270137349225,0.498160370723133,"FT.C","Epithelial","WT"
16.1435934033055,-6.18516226321662,"FT.C","Epithelial","WT"
7.72231554369261,-5.04996223989523,"FT.C","Epithelial","WT"
11.9367246701949,-3.18625022344293,"Fimbriae.C","Epithelial","WT"
9.03439273966153,-4.42369413812554,"Fimbriae.C","Epithelial","WT"
7.06889993430434,-6.01351552692706,"Fimbriae.C","Epithelial","WT"
-3.19174214177684,-4.9718584002914,"Cancer (Floating)","Epithelial","WT"
-19.4617466487807,0.579653824181578,"Cancer (Floating)","Epithelial","WT"
-8.64415761121729,-0.43297524324746,"Cancer (Floating)","Epithelial","WT"
-0.308249890483579,-6.38074653773604,"Fimbriae.C","Epithelial","WT"
9.03306576300207,-8.26924588763164,"Fimbriae.C","Epithelial","WT"
8.4622414607796,-6.11995317172252,"Fimbriae.C","Epithelial","WT"
-1.31614937217135,7.85589537549335,"Inv Cancer","Epithelial","WT"
-2.99207777475548,7.30835154026772,"Inv Cancer","Epithelial","WT"
9.79399555845162,4.25716111963471,"Inv Cancer","Epithelial","WT"
1.71875180652736,2.01541364833025,"Inv Cancer","Epithelial","WT"
6.21260467384457,3.53106655119266,"Inv Cancer","Epithelial","WT"
9.08218415023644,3.13693618048014,"Inv Cancer","Epithelial","WT"
-8.73009460859927,1.30590305758308,"STIC.C","Epithelial","WT"
-6.99982870377772,1.94989143777343,"STIC.C","Epithelial","WT"
-7.15230494560221,2.07084834772722,"STIC.C","Epithelial","WT"
-9.52464309428316,0.92229014244425,"STIC.C","Epithelial","WT"
-0.174882992458454,2.94733854102996,"STIC.C","Epithelial","WT"
0.137817964310611,3.39924426733203,"STIC.C","Epithelial","WT"
-12.6553342123547,1.58967308393027,"STIC.C","Epithelial","WT"
-4.41293494908607,-6.91508982182146,"STIC.C","Epithelial","WT"
-11.810144988123,-1.66781176620213,"Cancer (Floating)","Stroma","WT"
-10.7871684468123,0.617252875643229,"STIC.C","Epithelial","WT"
-1.52262427539105,-2.80072894002325,"STIC.C","Stroma","WT"
-12.4731729114103,0.569664853677249,"STIC.C","Epithelial","WT"
0.351001704180639,5.64545262600109,"STIC.C","Epithelial","WT"
-13.4469830196222,1.38013425547019,"STIC.C","Epithelial","WT"
-12.3709387977985,-4.9849927954254,"STIC.C","Epithelial","WT"
-9.44762711566277,-6.12751628207711,"p53 Signature.C","Epithelial","WT"
-9.97138855744329,-7.72986404514348,"p53 Signature.C","Epithelial","WT"
17.1865183835843,3.97401851323674,"p53 Signature.C","Epithelial","WT"
-4.98285712044998,0.715135788959738,"STIC.C","Stroma","WT"
-12.1446248110015,0.225816970406163,"STIC.C","Epithelial","WT"
-13.7451325752832,0.225644572490055,"STIC.C","Epithelial","WT"
-2.07013099803774,-1.6318381744152,"STIC.C","Stroma","WT"
-2.34432850977847,-3.8939647974146,"STIC.C","Stroma","WT"
-14.1219663885597,-4.18985466117407,"STIC.C","Epithelial","WT"
-13.9761217392955,-0.0205975501351129,"STIC.C","Epithelial","WT"
3.63954155340628,-7.97010847534011,"FT.C","Epithelial","WT"
-3.60944055176455,-6.46299993033333,"FT.C","Epithelial","WT"
-1.49272131603632,-7.03932864002506,"FT.C","Epithelial","WT"
-0.564652170180383,-4.813510948352,"Fimbriae.C","Epithelial","WT"
0.444228769473491,-5.70372263190629,"Fimbriae.C","Epithelial","WT"
-3.54564636802823,-15.0674637726992,"Fimbriae.C","Epithelial","WT"
-14.0498600258165,6.87998633899206,"Inv Cancer","Epithelial","WT"
-6.55158935071437,2.62116938837139,"Inv Cancer","Epithelial","WT"
-14.0992001992971,3.4116851981312,"Inv Cancer","Epithelial","WT"
-12.9899555032487,4.69081182027031,"Inv Cancer","Epithelial","WT"
-20.3112139845894,1.21883755536339,"STIC.C","Epithelial","WT"
-12.9131402836481,-5.06341017598498,"STIC.C","Epithelial","WT"
2.81757772889159,-11.037130681471,"STIC.C","Stroma","WT"
-23.1529640495409,1.54351231130872,"STIC.C","Epithelial","WT"
-16.5465926730085,2.43992711920037,"STIC.C","Epithelial","WT"
-20.5659348451047,-1.35747434292747,"STIC.C","Epithelial","WT"
-19.7745354467649,1.52605221186435,"STIC.C","Epithelial","WT"
5.9370682312508,-4.40990075724287,"STIC.C","Epithelial","WT"
2.67286810847126,1.40970473654309,"STIC.C","Epithelial","WT"
0.0216199702414113,-1.65356998115015,"STIC.C","Epithelial","WT"
-2.98306262076641,3.11381282313926,"Inv Cancer","Epithelial","WT"
-6.41020989799047,3.02438831907326,"Inv Cancer","Epithelial","WT"
-8.81144648553247,0.939159743415048,"Inv Cancer","Epithelial","WT"
1.36020121471169,3.28312243582002,"Inv Cancer","Epithelial","WT"
3.07231012234203,2.86098175396563,"Inv Cancer","Epithelial","WT"
2.9170734953493,3.92344804671619,"Inv Cancer","Epithelial","WT"
-10.0769053525483,2.1900665683337,"STIC.C","Epithelial","WT"
-8.68901430732956,2.41025830172161,"STIC.C","Epithelial","WT"
4.31050647798819,-1.08135565772014,"STIC.C","Epithelial","WT"
-6.18316539183567,-1.12172729061492,"STIC.C","Epithelial","WT"
-11.6325744220918,-0.893467140146122,"STIC.C","Epithelial","WT"
-9.0714791345206,-8.5883017363066,"STIL.C","Epithelial","WT"
-1.76767360516883,7.6314794311382,"p53 Signature.C","Epithelial","WT"
-9.68227952659314,-1.58792452278019,"STIC.C","Epithelial","WT"
11.4300193916733,-6.78499622750915,"Inv Cancer","Stroma","BRCA1, somatic"
