"SAMPLE_ID","UMAP1","UMAP2","LESIONS_TYPES","ROI_TYPES"
"LSP15360_Scan1-027-Full-ROI",2.57611217101415,5.22580570479234,"Inv Cancer","Epithelial"
"LSP15360_Scan1-028-Full-ROI",2.59417428572973,5.19771570463975,"Inv Cancer","Epithelial"
"LSP15360_Scan1-029-Full-ROI",-0.380695919195811,1.31995574136575,"FT.C","Epithelial"
"LSP16139_Scan2-001-Full-ROI",-1.82818088928858,-0.454754913846652,"FT.C","Epithelial"
"LSP16139_Scan2-002-Full-ROI",-1.89746914307276,-0.52624091009299,"FT.C","Epithelial"
"LSP16139_Scan2-003-Full-ROI",-1.41887722412745,-0.665499771634738,"FT.C","Epithelial"
"LSP16139_Scan2-004-Full-ROI",-1.40932808319728,-0.255769337217013,"Fimbriae.C","Epithelial"
"LSP16139_Scan2-005-Full-ROI",-1.29624901215235,-0.419842327634494,"Fimbriae.C","Epithelial"
"LSP16139_Scan2-006-Full-ROI",-1.68978271881739,-0.754933441678683,"Fimbriae.C","Epithelial"
"LSP16139_Scan2-007-Full-ROI",0.825793166955312,0.716652308901151,"Cancer (Floating)","Epithelial"
"LSP16139_Scan2-008-Full-ROI",1.63635863860448,0.159376536806424,"Cancer (Floating)","Epithelial"
"LSP16139_Scan2-009-Full-ROI",0.902652641137441,0.605479155977567,"Cancer (Floating)","Epithelial"
"LSP16139_Scan2-010-Full-ROI",-0.383084873358409,-1.52337082723777,"Fimbriae.C","Epithelial"
"LSP16139_Scan2-011-Full-ROI",-1.26863537232081,-1.01094492773215,"Fimbriae.C","Epithelial"
"LSP16139_Scan2-012-Full-ROI",-1.32503662506739,-0.76179941991965,"Fimbriae.C","Epithelial"
"LSP16139_Scan2-013-Full-ROI",1.26030339797338,0.560201083620389,"Inv Cancer","Epithelial"
"LSP16139_Scan2-014-Full-ROI",1.13952531417211,0.586774264772733,"Inv Cancer","Epithelial"
"LSP16139_Scan2-015-Full-ROI",-0.853870968023936,-0.0550232777992887,"Inv Cancer","Epithelial"
"LSP16139_Scan2-016-Full-ROI",0.615140815575917,-0.014569366971652,"Inv Cancer","Epithelial"
"LSP16139_Scan2-017-Full-ROI",-0.30408916870753,-0.143952930967013,"Inv Cancer","Epithelial"
"LSP16139_Scan2-018-Full-ROI",-0.476811031500499,-0.0522943387428922,"Inv Cancer","Epithelial"
"LSP16139_Scan2-019-Full-ROI",1.45929708083471,0.252897178133328,"STIC.C","Epithelial"
"LSP16139_Scan2-020-Full-ROI",1.41752614577611,0.266118918855985,"STIC.C","Epithelial"
"LSP16139_Scan2-021-Full-ROI",1.49272336562475,0.108469878633817,"STIC.C","Epithelial"
"LSP16139_Scan2-022-Full-ROI",1.53134431441625,0.212099944551785,"STIC.C","Epithelial"
"LSP16139_Scan2-023-Full-ROI",1.44030417998632,0.224744235475858,"STIC.C","Epithelial"
"LSP16139_Scan2-024-Full-ROI",1.38085403045018,0.256777202089627,"STIC.C","Epithelial"
"LSP16139_Scan2-025-Full-ROI",1.53240050872167,0.249482547243436,"STIC.C","Epithelial"
"LSP16139_Scan2-026-Full-ROI",1.37901725371679,0.1574830164512,"STIC.C","Epithelial"
"LSP16139_Scan2-027-Full-ROI",1.1053308447202,0.335992728670438,"Cancer (Floating)","Stroma"
"LSP16142_Scan2-001-Full-ROI",2.16667499144872,-0.69649180273215,"STIC.C","Epithelial"
"LSP16142_Scan2-002-Full-ROI",-0.431364635626475,-1.13974055151145,"STIC.C","Stroma"
"LSP16142_Scan2-003-Full-ROI",2.45066823561986,-0.455845917264621,"STIC.C","Epithelial"
"LSP16142_Scan2-004-Full-ROI",-0.21218071381251,-0.0585752377907438,"STIC.C","Epithelial"
"LSP16142_Scan2-005-Full-ROI",2.47332515319188,-0.583307827512423,"STIC.C","Epithelial"
"LSP16142_Scan2-006-Full-ROI",2.41473521788915,-0.850352848569552,"STIC.C","Epithelial"
"LSP16142_Scan2-007-Full-ROI",1.32681359847387,-1.23423441747824,"p53 Signature.C","Epithelial"
"LSP16142_Scan2-008-Full-ROI",2.24730767806371,-0.636089409391086,"p53 Signature.C","Epithelial"
"LSP16142_Scan2-009-Full-ROI",-1.58401546875636,-0.161442841092746,"p53 Signature.C","Epithelial"
"LSP16142_Scan2-010-Full-ROI",0.645671268304189,-1.1010619054238,"STIC.C","Stroma"
"LSP16142_Scan2-011-Full-ROI",2.20336379607518,-0.674053753415744,"STIC.C","Epithelial"
"LSP16142_Scan2-012-Full-ROI",2.29076280196508,-0.570855225125949,"STIC.C","Epithelial"
"LSP16142_Scan2-013-Full-ROI",-0.35953293244044,-0.960960472623507,"STIC.C","Stroma"
