Raman Shift (cm⁻¹),Importância
1417.0,4.70627515711792e-05
712.0,4.705646077024156e-05
2684.0,4.7054442279931897e-05
704.0,4.698091374349942e-05
321.0,4.697072315809394e-05
2742.0,4.6945889934163625e-05
709.0,4.692571590461188e-05
1027.0,4.691670716971953e-05
705.0,4.681283648526273e-05
708.0,4.679496866724734e-05
2723.0,4.678387168227053e-05
1345.0,4.6732909530387894e-05
706.0,4.672749323707049e-05
707.0,4.6723409358076225e-05
1026.0,4.670892387671741e-05
2687.0,4.669163707775769e-05
1028.0,4.667366923559903e-05
713.0,4.659722679687055e-05
2688.0,4.6572663540123875e-05
1350.0,4.654358241490092e-05
1419.0,4.6459836163203513e-05
2718.0,4.643474532927638e-05
320.0,4.63713689996242e-05
1096.0,4.621916543132655e-05
1095.0,4.6181341317816835e-05
1025.0,4.612281355129208e-05
657.0,4.61224259297502e-05
1416.0,4.607853746511783e-05
2985.0,4.6043758126017584e-05
308.0,4.5982243344841064e-05
307.0,4.5977718848397125e-05
1097.0,4.597749254482506e-05
2722.0,4.5927075580419055e-05
309.0,4.592305846488449e-05
2994.0,4.5921087549049895e-05
694.0,4.590432436847629e-05
2764.0,4.5903892536543646e-05
319.0,4.590280413408317e-05
1029.0,4.589186908746329e-05
306.0,4.587768046067302e-05
2845.0,4.583412915299847e-05
310.0,4.582409884037091e-05
1094.0,4.5813641242098195e-05
2670.0,4.576171253146899e-05
794.0,4.570686547412488e-05
311.0,4.570371986119387e-05
714.0,4.5702935399650495e-05
1140.0,4.569835624982162e-05
1139.0,4.566914308259399e-05
305.0,4.5637170153069955e-05
312.0,4.5576002330671895e-05
318.0,4.557514435776912e-05
3002.0,4.5531819943383584e-05
3003.0,4.5509041148325016e-05
1098.0,4.5506045647650225e-05
1261.0,4.5478876584305265e-05
313.0,4.5453492535095364e-05
1351.0,4.544739152588177e-05
1141.0,4.54332306942394e-05
2905.0,4.541725054925684e-05
1138.0,4.5411268961278884e-05
1344.0,4.539266975669029e-05
317.0,4.537702503023622e-05
314.0,4.5351069109140983e-05
1014.0,4.532738315956046e-05
316.0,4.528892125539502e-05
315.0,4.528836250749773e-05
3001.0,4.525508889203055e-05
1024.0,4.523572430863103e-05
304.0,4.5189867344150085e-05
1420.0,4.517327644965174e-05
1013.0,4.516739245648953e-05
341.0,4.515036026696193e-05
3004.0,4.512109722509757e-05
1093.0,4.510013542158108e-05
2752.0,4.50860524792999e-05
2721.0,4.501956072891381e-05
1137.0,4.4949014348166914e-05
661.0,4.491294985197829e-05
2719.0,4.490564705317808e-05
1099.0,4.48227795581865e-05
656.0,4.482138957749318e-05
1142.0,4.47962676163511e-05
3000.0,4.474526414821196e-05
1015.0,4.472523325936307e-05
2683.0,4.468948921434424e-05
2674.0,4.460319037964754e-05
2671.0,4.459413347783027e-05
3005.0,4.4541800018054976e-05
2720.0,4.450351749236273e-05
1030.0,4.446649615803677e-05
678.0,4.446515455415582e-05
715.0,4.445435079783038e-05
303.0,4.44370872332503e-05
2675.0,4.435016499940522e-05
673.0,4.434548676629321e-05
1136.0,4.427837757997469e-05
2743.0,4.4262512513585917e-05
1271.0,4.4187608450688225e-05
1023.0,4.415932265224071e-05
2918.0,4.415069738892691e-05
1415.0,4.412518907426026e-05
1352.0,4.41247230212372e-05
2673.0,4.4086797669585316e-05
1092.0,4.407385361143642e-05
3006.0,4.4046356584879366e-05
1012.0,4.3969202752518346e-05
2672.0,4.395906670152896e-05
2999.0,4.391714048040689e-05
1100.0,4.3900545854167717e-05
807.0,4.3887816543946616e-05
1146.0,4.387091723748234e-05
2659.0,4.382882270389048e-05
1145.0,4.37879950446581e-05
1016.0,4.3755489133328435e-05
1143.0,4.3734346824576564e-05
2938.0,4.365166588780018e-05
288.0,4.364403470369174e-05
287.0,4.364197768923003e-05
289.0,4.363951935165541e-05
286.0,4.363055365622906e-05
290.0,4.362925279089581e-05
693.0,4.3622079862068344e-05
291.0,4.361108560683706e-05
285.0,4.3604910268619525e-05
292.0,4.357560167650493e-05
284.0,4.355750789414482e-05
1421.0,4.354004138569841e-05
1343.0,4.352363303263844e-05
3007.0,4.3499358518396657e-05
293.0,4.349444141421235e-05
283.0,4.347683612400381e-05
1135.0,4.340297196988189e-05
