,count,mean,std,min,25%,50%,75%,max,var
267.0,1225.0,0.17743413744968933,1.370967829066649,-0.4988599043885082,-0.3627879903478497,-0.2885110591433755,-0.15292190340093365,4.38362369684784,1.8795527883357206
268.0,1225.0,0.07279385922025679,1.0611151891379003,-0.5067806091937803,-0.3646553694773291,-0.28763269117832785,-0.17692268979012143,3.3207831456241994,1.1259654446191618
269.0,1225.0,-0.010258204641640106,0.8136616178154708,-0.5101856401132296,-0.36547490638902325,-0.28673079656514056,-0.19483780182268454,2.47198230804706,0.6620452283060891
270.0,1225.0,-0.07139086151667028,0.6302308051258507,-0.513066632364545,-0.3647697131329738,-0.28677241359658845,-0.22150035902710963,1.831632843077595,0.39719086772957807
271.0,1225.0,-0.11333120018901009,0.5037835058524011,-0.5143679612252009,-0.36172667378207146,-0.28691052916901816,-0.24347920772058754,1.3679635500273783,0.2537978207689362
272.0,1225.0,-0.14000381853297736,0.4241552969350742,-0.5136192779622568,-0.35910078073190355,-0.29378802323781006,-0.24959337068162019,1.0369510473123227,0.17990771591808097
273.0,1225.0,-0.1549761885818499,0.3825690844389387,-0.5096893006661015,-0.3556782719067981,-0.31794589867841344,-0.24901498434834957,0.8192775430622148,0.14635910436844782
274.0,1225.0,-0.1605531657609036,0.37411842407817053,-0.5010195752415579,-0.3576663219760197,-0.3310085279351344,-0.24826877091933683,1.0063466095573521,0.13996459523473384
275.0,1225.0,-0.15754202251966803,0.39805113994022884,-0.49574875104538857,-0.36439821342023665,-0.3298677900159751,-0.24829672952303958,1.26091416341721,0.15844471000771562
276.0,1225.0,-0.14550196626238945,0.4564966800254573,-0.5047616586985105,-0.3657278685633962,-0.328655550603091,-0.24577461878894422,1.6082164923453275,0.20838921887426473
277.0,1225.0,-0.12326052923939507,0.5527806927825958,-0.5278600777926031,-0.366773587334226,-0.3228123244626104,-0.24302113922197266,2.0753015172703564,0.30556649431320654
278.0,1225.0,-0.08955805881249508,0.6898470774949256,-0.5465696390610183,-0.3695660408622658,-0.315901029222703,-0.23944697785660418,2.684962290343357,0.4758889903282899
279.0,1225.0,-0.04378197459227341,0.8683507615941012,-0.5615423103506847,-0.37019989175799406,-0.30846637946123534,-0.236288355447128,3.4470730398857294,0.7540330451610556
280.0,1225.0,0.013238799917327335,1.0841859980777673,-0.57367906505275,-0.3708457179439127,-0.30064696920676337,-0.2320927239115848,4.348739501347771,1.1754592784278843
281.0,1225.0,0.07850765677798127,1.3260310773991213,-0.5836047113738821,-0.37133573176343304,-0.29244773524660383,-0.2303871960277477,5.376444394227131,1.7583584182282745
282.0,1225.0,0.14647539461215303,1.5740432949741046,-0.5916087411022461,-0.3722147749426624,-0.28425115780296617,-0.2296810614830012,6.446980606747537,2.477612294452936
283.0,1225.0,0.20932858531453766,1.8008883177786317,-0.6017989010802387,-0.3717788879347055,-0.278719362813952,-0.2282965445169857,7.4283612339217004,3.24319873311155
284.0,1225.0,0.2581379763447105,1.9757088951427269,-0.6129014352071013,-0.3719890889218749,-0.27717805920736727,-0.2273496558326775,8.186763565840478,3.9034256383460946
285.0,1225.0,0.2847311393619928,2.0705381600022736,-0.6228945484571611,-0.3719573006251416,-0.2750862361665653,-0.22627555092069435,8.600020699387102,4.2871282720256
286.0,1225.0,0.28377957683994826,2.067405937496766,-0.6308086096851394,-0.37174310171512864,-0.2743066934392942,-0.22589905800755547,8.589041380664446,4.274167310396881
287.0,1225.0,0.2543832605654176,1.9636875285353907,-0.6352700677246725,-0.3707283140725666,-0.27218672740756866,-0.22536064071237588,8.14178303266668,3.856068709725431
288.0,1225.0,0.20054060160532636,1.7736104521857825,-0.634573242915317,-0.37060673238586794,-0.27077341256527104,-0.2260601923618304,7.320008091296463,3.1456940361026557
289.0,1225.0,0.13026830073958254,1.5251327159042665,-0.6323428725239527,-0.37046578648075523,-0.268654211654181,-0.22629284004380606,6.2453788428172095,2.326029801121524
290.0,1225.0,0.053639187597567826,1.2531409971471308,-0.6293562249120664,-0.3705915068523178,-0.2667470397934989,-0.22574269237033232,5.069256865959892,1.5703623587309055
291.0,1225.0,-0.019613346598936116,0.99122250460059,-0.6248545969534864,-0.3692598594013484,-0.26636097547990695,-0.22571088887923038,3.93650144658827,0.9825220536266668
292.0,1225.0,-0.08215436593820068,0.7646660697125678,-0.6246238078175141,-0.36530476307411985,-0.26628589472609365,-0.22571479803835753,2.992995949158653,0.5847141981696655
293.0,1225.0,-0.13016762558372727,0.5867325164062781,-0.6220059356213883,-0.36074627345802546,-0.2667062479485597,-0.22505885611223028,2.2477658870101513,0.34425504580844335
294.0,1225.0,-0.16331942112904246,0.4588626568462312,-0.6160570940993316,-0.3547201715371074,-0.2675702270600954,-0.22583931934027257,1.6986863745444258,0.2105549378479821
295.0,1225.0,-0.18377089302393262,0.37406337114938615,-0.606187544896477,-0.34747347850383264,-0.2681635169390124,-0.2249273687486791,1.31562720960906,0.13992340563564343
296.0,1225.0,-0.19476343434299553,0.3217499880395597,-0.5924469200261901,-0.3395913954880705,-0.2691160590048947,-0.22588757060071551,1.0537633019783454,0.1035230548034568
297.0,1225.0,-0.19937542696575195,0.2920659676842675,-0.5763564264150021,-0.33066874532497764,-0.2698278192270787,-0.2259858398189209,0.8706196431913756,0.08530252947934759
298.0,1225.0,-0.19985100949776585,0.2781140339604303,-0.5688033597504492,-0.3219835750539374,-0.27011167937764624,-0.22667793384123097,0.7354095348508815,0.07734741588574337
299.0,1225.0,-0.1975619635484181,0.27574669639460425,-0.5609388779353296,-0.3160647403121416,-0.2707356549340484,-0.22311730997807636,0.6300749334077543,0.07603624057253806
300.0,1225.0,-0.19335139324507564,0.282091764436435,-0.5522782209844743,-0.31055749906959235,-0.2716110900624775,-0.21825232340824746,0.7270438937724565,0.07957576356286115
301.0,1225.0,-0.18791009216679389,0.29439888904655886,-0.5423684155449665,-0.30700955261708945,-0.27219712557448145,-0.21186949836944408,0.8291129825438602,0.08667070587184807
302.0,1225.0,-0.18195771474673472,0.3098224533126545,-0.5309858117573261,-0.30567491337376007,-0.27113217806651213,-0.2051777336257596,0.9377454761422398,0.09598995257667199
303.0,1225.0,-0.17621158635745132,0.32571142903151545,-0.5182433624761921,-0.30605083987938836,-0.2617834641876368,-0.19835407167476954,1.0325184204974907,0.10608793500175191
