"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significancia"
"GTF2IRD2B",-1.05217864583332,0.0325866071428575,-9.94449675423701,5.58135034505631e-22,1.85816186086661e-20,39.0908764580299,"Down-regulado"
"EXT1",1.03796163194444,0.0508776785714285,9.94330449965873,5.64075149288327e-22,1.87459636356905e-20,39.0804560302052,"Up-regulado"
"FAM189B",1.00916788194444,-0.0851937500000003,9.93931542533686,5.84409143997365e-22,1.93872283879907e-20,39.0455980749719,"Up-regulado"
"TPM4",1.0314439236111,-0.0215708333333335,9.93764975405336,5.93113345484347e-22,1.96410956624311e-20,39.0310460194697,"Up-regulado"
"TRAF7",1.03430503472221,-0.0609842261904763,9.93732627689255,5.94818566353105e-22,1.96627015288088e-20,39.0282201940231,"Up-regulado"
"DNAH7",-1.03886996527777,0.0686372023809524,-9.9355302877512,6.04374978004102e-22,1.99433064738209e-20,39.0125321105879,"Down-regulado"
"CDCA3",1.0331845486111,0.0252949404761907,9.93430615148654,6.10975657870354e-22,2.01255597214191e-20,39.0018404462205,"Up-regulado"
"FAM174A",-1.03177256944443,0.0986461309523811,-9.93091470486524,6.296383747629e-22,2.0703795643392e-20,38.9722246688428,"Down-regulado"
"THBS2",1.0552501736111,0.0829568452380953,9.93049348630787,6.31995397452083e-22,2.07447768685634e-20,38.9685469231879,"Up-regulado"
"ADSS2",1.03674149305555,-0.0561660714285712,9.92891725046763,6.40893457405918e-22,2.09999422876672e-20,38.9547855466598,"Up-regulado"
"STRAP",1.00783715277777,-0.0190520833333334,9.9275302868773,6.48825716165475e-22,2.122262329391e-20,38.9426780038926,"Up-regulado"
"RAB36",-1.04191684027777,0.0176136904761904,-9.92334379911289,6.73364014993189e-22,2.19867477413073e-20,38.9061397986047,"Down-regulado"
"MCM7",1.01077152777777,-0.049383035714286,9.92146893612415,6.84649359916996e-22,2.22860532412845e-20,38.8897804833444,"Up-regulado"
"MAOA",-1.04203194444443,0.0655752976190477,-9.92142484748024,6.8491698669472e-22,2.22860532412845e-20,38.8893958117758,"Down-regulado"
"MGLL",-1.02282847222221,0.16001369047619,-9.91856156254704,7.02521622973065e-22,2.28191240909007e-20,38.864416580977,"Down-regulado"
"EIF4EBP1",1.02444062499999,0.0129907738095236,9.91478101034459,7.26454925739018e-22,2.35555532083813e-20,38.8314436122273,"Up-regulado"
"S100A10",1.0369892361111,-0.06756875,9.91280933588595,7.39255835584729e-22,2.39290836069601e-20,38.8142510231054,"Up-regulado"
"GATA6",-1.00020069444444,0.0119363095238093,-9.91072538573992,7.53028830962441e-22,2.43257353135504e-20,38.7960822681835,"Down-regulado"
"SRSF9",1.0522329861111,-0.066202380952381,9.91056269280255,7.54114726484215e-22,2.43257353135504e-20,38.7946639661179,"Up-regulado"
"TOMM5",1.02100850694444,-0.0951827380952379,9.90914757200131,7.63625682603915e-22,2.45900635758506e-20,38.7823281753631,"Up-regulado"
"KIF27",-1.02878489583332,0.107533333333333,-9.90141850861863,8.17709817763123e-22,2.62863446925333e-20,38.7149768145214,"Down-regulado"
"LRRC23",-1.04515225694444,0.0933458333333332,-9.89647870308345,8.54247908419452e-22,2.74137254047253e-20,38.6719523109239,"Down-regulado"
"CDS1",-1.03349670138888,0.0612410714285715,-9.8948375674839,8.66741475740406e-22,2.77669477571245e-20,38.6576620716527,"Down-regulado"
"PPP1R42",-1.03746197916666,0.139354166666667,-9.8934433121543,8.77497809695842e-22,2.8063401698098e-20,38.6455229814572,"Down-regulado"
"MXRA5",1.04783038194443,-0.0796616071428573,9.89308375416108,8.80293108853149e-22,2.81046741778637e-20,38.6423927015072,"Up-regulado"
"LMNTD1",-1.03330729166666,0.125619642857143,-9.89039616675005,9.01468626371439e-22,2.87316203664494e-20,38.6189975747649,"Down-regulado"
"PSMB2",1.0182939236111,0.0532955357142853,9.8895013326222,9.08630486007119e-22,2.89105478486456e-20,38.6112092353818,"Up-regulado"
"PSMD14",1.00660468749999,-0.0276672619047621,9.88762428017377,9.23837370831195e-22,2.93444057398201e-20,38.5948737542014,"Up-regulado"
"SMDT1",-1.01772656249999,0.025399702380952,-9.88096720804421,9.79831964378897e-22,3.10701555156276e-20,38.5369582800915,"Down-regulado"
"DNAH2",-1.03767100694444,0.123360416666667,-9.87950264250087,9.92595361131465e-22,3.14215314573769e-20,38.5242208186081,"Down-regulado"
"IVNS1ABP",1.01129565972221,-0.101513095238095,9.85694158460898,1.21136997003484e-21,3.82821606266341e-20,38.3281888750701,"Up-regulado"
"XPO5",1.00982013888888,-0.0209741071428568,9.85039549953716,1.28335920633398e-21,4.04886822579387e-20,38.2713748666649,"Up-regulado"
"PNPLA7",-1.01940503472221,0.0592095238095238,-9.85005698319394,1.28719517470724e-21,4.05412213794385e-20,38.2684376464576,"Down-regulado"
"PTK7",1.01801076388888,-0.0247002976190478,9.84478599611861,1.34841193013928e-21,4.23977939717362e-20,38.2227126690066,"Up-regulado"
"COMP",1.07121788194443,0.0890386904761901,9.83895991645711,1.41943755310267e-21,4.4556025511426e-20,38.1721943039894,"Up-regulado"
"PTP4A2",1.0402986111111,-0.030970238095238,9.83792135251194,1.43248258107207e-21,4.48900623602066e-20,38.163191261198,"Up-regulado"
"CFAP47",-1.02356753472221,0.0706193452380954,-9.8362603483519,1.45359331278432e-21,4.54753137401552e-20,38.1487939681738,"Down-regulado"
"SPATA2L",1.02618350694444,-0.180935714285714,9.82583641064032,1.59329958498292e-21,4.97626360346587e-20,38.0584839134129,"Up-regulado"
"ZBTB7B",1.01111093749999,-0.235831845238095,9.81791490044802,1.70829542209247e-21,5.32651646050436e-20,37.9899035969538,"Up-regulado"
"CENPU",1.0220642361111,0.0273806547619047,9.81675682146195,1.72578258213664e-21,5.37207354776102e-20,37.9798811282515,"Up-regulado"
"CROCC2",-1.02801527777777,0.0896136904761906,-9.81515035875933,1.75033455666128e-21,5.43943402907865e-20,37.9659796826379,"Down-regulado"
"RAB35",1.01384149305554,-0.0462928571428573,9.81358081726238,1.77465657193915e-21,5.50585727476868e-20,37.9523994292876,"Up-regulado"
